연도,시군구,법정동,업종,가구수,사용량
2021,경기도 부천시,송내2동,가정용,62850,1945827
2021,경기도 부천시,송내2동,일반용,7796,506240
2021,경기도 부천시,송내2동,대중탕용,12,3378
2021,경기도 부천시,송내2동,산업용,130,13305
2021,경기도 부천시,심곡1동,가정용,37659,926303
2021,경기도 부천시,심곡1동,일반용,9173,413091
2021,경기도 부천시,심곡1동,대중탕용,12,2697
2021,경기도 부천시,심곡1동,산업용,12,585
2021,경기도 부천시,심곡2동,가정용,49125,1171001
2021,경기도 부천시,심곡2동,일반용,33872,1456511
2021,경기도 부천시,심곡2동,대중탕용,24,33681
2021,경기도 부천시,심곡2동,산업용,17,631
2021,경기도 부천시,심곡3동,가정용,37389,975225
2021,경기도 부천시,심곡3동,일반용,5112,177399
2021,경기도 부천시,심곡3동,대중탕용,6,648
2021,경기도 부천시,심곡3동,산업용,18,1276
2021,경기도 부천시,원미1동,가정용,44546,1233980
2021,경기도 부천시,원미1동,일반용,8712,353872
2021,경기도 부천시,원미1동,대중탕용,19,2171
2021,경기도 부천시,원미1동,산업용,846,93658
2021,경기도 부천시,원미2동,가정용,37112,971969
2021,경기도 부천시,원미2동,일반용,4942,179253
2021,경기도 부천시,원미2동,대중탕용,12,6696
2021,경기도 부천시,원미2동,산업용,12,753
2021,경기도 부천시,소사동,가정용,30361,672937
2021,경기도 부천시,소사동,일반용,3288,308018
2021,경기도 부천시,소사동,산업용,6,88
2021,경기도 부천시,역곡1동,가정용,41655,1364912
2021,경기도 부천시,역곡1동,일반용,4432,244710
2021,경기도 부천시,역곡1동,대중탕용,12,171
2021,경기도 부천시,역곡1동,산업용,263,24153
2021,경기도 부천시,역곡2동,가정용,48127,1382193
2021,경기도 부천시,역곡2동,일반용,6439,288555
2021,경기도 부천시,역곡2동,산업용,78,1523
2021,경기도 부천시,춘의동,가정용,38918,1097902
2021,경기도 부천시,춘의동,일반용,7887,511241
2021,경기도 부천시,춘의동,대중탕용,12,397
2021,경기도 부천시,춘의동,산업용,1172,251020
2021,경기도 부천시,도당동,가정용,60985,1636317
2021,경기도 부천시,도당동,일반용,6214,443346
2021,경기도 부천시,도당동,대중탕용,36,17680
2021,경기도 부천시,도당동,전용공업용,12,2793193
2021,경기도 부천시,도당동,산업용,3726,2725803
2021,경기도 부천시,약대동,가정용,45212,1416817
2021,경기도 부천시,약대동,일반용,2693,203607
2021,경기도 부천시,약대동,대중탕용,32,24990
2021,경기도 부천시,약대동,산업용,210,49918
2021,경기도 부천시,중동,가정용,59099,1825645
2021,경기도 부천시,중동,일반용,5779,329183
2021,경기도 부천시,중1동,가정용,63684,2183617
2021,경기도 부천시,중1동,일반용,87492,2391050
2021,경기도 부천시,중1동,대중탕용,19,20530
2021,경기도 부천시,중2동,가정용,56387,1978469
2021,경기도 부천시,중2동,일반용,31226,829748
2021,경기도 부천시,중2동,대중탕용,48,62387
2021,경기도 부천시,중3동,가정용,55916,1869975
2021,경기도 부천시,중3동,일반용,3057,324976
2021,경기도 부천시,중3동,산업용,6,47
2021,경기도 부천시,중4동,가정용,46326,1521425
2021,경기도 부천시,중4동,일반용,3604,233977
2021,경기도 부천시,중4동,대중탕용,12,1244
2021,경기도 부천시,상동,가정용,43171,1372159
2021,경기도 부천시,상동,일반용,11322,597382
2021,경기도 부천시,상동,대중탕용,12,4271
2021,경기도 부천시,상1동,가정용,53718,1910293
2021,경기도 부천시,상1동,일반용,8819,358749
2021,경기도 부천시,상1동,대중탕용,12,281
2021,경기도 부천시,상2동,가정용,55800,2231402
2021,경기도 부천시,상2동,일반용,13620,931208
2021,경기도 부천시,상2동,대중탕용,36,6073
2021,경기도 부천시,상3동,가정용,56379,2408352
2021,경기도 부천시,상3동,일반용,13034,663307
2021,경기도 부천시,상3동,대중탕용,11,62
2021,경기도 부천시,성곡동,가정용,103913,3103105
2021,경기도 부천시,성곡동,일반용,7190,581970
2021,경기도 부천시,성곡동,대중탕용,37,21499
2021,경기도 부천시,성곡동,산업용,98,3818
2021,경기도 부천시,원종1동,가정용,57625,1687242
2021,경기도 부천시,원종1동,일반용,5080,357530
2021,경기도 부천시,원종1동,대중탕용,39,44128
2021,경기도 부천시,원종1동,산업용,43,3105
2021,경기도 부천시,원종2동,가정용,55706,1587589
2021,경기도 부천시,원종2동,일반용,3099,264013
2021,경기도 부천시,원종2동,산업용,12,2278
2021,경기도 부천시,고강본동,가정용,77437,2149480
2021,경기도 부천시,고강본동,일반용,4200,240382
2021,경기도 부천시,고강본동,대중탕용,18,155
2021,경기도 부천시,고강본동,산업용,48,9587
2021,경기도 부천시,고강1동,가정용,38866,1099551
2021,경기도 부천시,고강1동,일반용,2144,138427
2021,경기도 부천시,고강1동,대중탕용,6,0
2021,경기도 부천시,고강1동,산업용,31,2061
2021,경기도 부천시,오정동,가정용,52617,1651378
2021,경기도 부천시,오정동,일반용,3494,579448
2021,경기도 부천시,오정동,대중탕용,12,100
2021,경기도 부천시,오정동,산업용,1042,187481
2021,경기도 부천시,신흥동,가정용,55475,1391914
2021,경기도 부천시,신흥동,일반용,7463,538794
2021,경기도 부천시,신흥동,전용공업용,12,410684
2021,경기도 부천시,신흥동,산업용,7422,1648293
